Path,Transcription,Actual
Data/Memos/Dingley Place 19.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 25.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 31.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 6.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 7.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 30.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 24.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 18.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 32.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 5.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 26.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 27.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 4.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 33.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 37.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 23.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 22.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 36.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 20.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 34.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 3.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 2.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 35.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 21.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 46.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 52.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 53.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 47.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 51.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 45.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 44.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 50.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 54.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 40.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 68.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 69.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 41.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 55.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 43.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 57.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 56.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 42.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 67.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 66.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 58.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 70.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 64.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 70 2.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 65.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 59.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 69 2.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 61.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 49.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 48.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 60.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 62.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 63.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 38.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 10.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 11.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 39.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 13.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 12.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 16.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 9.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 8.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 17.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 15.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 29.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 28.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 14.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/output.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
